character,movie,time
James Potter</a,Half-Blood Prince,0
James Potter</a,"Deathly Hallows, Part I",0
James Potter</a,"Deathly Hallows, Part II",30
Argus Filch</a,Philosopher's/Sorcerer's Stone,75
Argus Filch</a,Chamber of Secrets,105
Argus Filch</a,Prisoner of Azkaban,75
Argus Filch</a,Goblet of Fire,45
Argus Filch</a,Order of the Phoenix,135
Argus Filch</a,Half-Blood Prince,15
Argus Filch</a,"Deathly Hallows, Part I",30
Argus Filch</a,"Deathly Hallows, Part II",30
Bellatrix Lestrange</a,Philosopher's/Sorcerer's Stone,0
Bellatrix Lestrange</a,Chamber of Secrets,0
Bellatrix Lestrange</a,Prisoner of Azkaban,0
Bellatrix Lestrange</a,Goblet of Fire,0
Bellatrix Lestrange</a,Order of the Phoenix,120
Bellatrix Lestrange</a,Half-Blood Prince,225
Bellatrix Lestrange</a,"Deathly Hallows, Part I",180
Bellatrix Lestrange</a,"Deathly Hallows, Part II",105
Lord Voldemort</a,Philosopher's/Sorcerer's Stone,120
Lord Voldemort</a,Chamber of Secrets,405
Lord Voldemort</a,Prisoner of Azkaban,0
Lord Voldemort</a,Goblet of Fire,390
Lord Voldemort</a,Order of the Phoenix,135
Lord Voldemort</a,Half-Blood Prince,255
Lord Voldemort</a,"Deathly Hallows, Part I",300
Lord Voldemort</a,"Deathly Hallows, Part II",630
Kingsley Shacklebolt</a,Philosopher's/Sorcerer's Stone,0
Kingsley Shacklebolt</a,Chamber of Secrets,0
Kingsley Shacklebolt</a,Prisoner of Azkaban,0
Kingsley Shacklebolt</a,Goblet of Fire,0
Kingsley Shacklebolt</a,Order of the Phoenix,150
Kingsley Shacklebolt</a,Half-Blood Prince,0
Kingsley Shacklebolt</a,"Deathly Hallows, Part I",60
Kingsley Shacklebolt</a,"Deathly Hallows, Part II",60
Elphias Doge</a,Philosopher's/Sorcerer's Stone,0
Elphias Doge</a,Chamber of Secrets,0
Elphias Doge</a,Prisoner of Azkaban,0
Elphias Doge</a,Goblet of Fire,0
Elphias Doge</a,Order of the Phoenix,0
Elphias Doge</a,Half-Blood Prince,0
Elphias Doge</a,"Deathly Hallows, Part I",60
Elphias Doge</a,"Deathly Hallows, Part II",0
Viktor Krum</a,Philosopher's/Sorcerer's Stone,0
Viktor Krum</a,Chamber of Secrets,0
Viktor Krum</a,Prisoner of Azkaban,0
Viktor Krum</a,Goblet of Fire,0
Viktor Krum</a,Order of the Phoenix,0
Viktor Krum</a,Half-Blood Prince,0
Viktor Krum</a,"Deathly Hallows, Part I",0
Viktor Krum</a,"Deathly Hallows, Part II",0
Hermione Granger</a,Philosopher's/Sorcerer's Stone,1395
Hermione Granger</a,Chamber of Secrets,930
Hermione Granger</a,Prisoner of Azkaban,2085
Hermione Granger</a,Goblet of Fire,990
Hermione Granger</a,Order of the Phoenix,1380
Hermione Granger</a,Half-Blood Prince,1200
Hermione Granger</a,"Deathly Hallows, Part I",2760
Hermione Granger</a,"Deathly Hallows, Part II",1560
Cho Chang</a,Philosopher's/Sorcerer's Stone,0
Cho Chang</a,Chamber of Secrets,0
Cho Chang</a,Prisoner of Azkaban,0
Cho Chang</a,Goblet of Fire,105
Cho Chang</a,Order of the Phoenix,210
Cho Chang</a,Half-Blood Prince,15
Cho Chang</a,"Deathly Hallows, Part I",75
Cho Chang</a,"Deathly Hallows, Part II",75
Minerva McGonagall</a,Philosopher's/Sorcerer's Stone,450
Minerva McGonagall</a,Chamber of Secrets,345
Minerva McGonagall</a,Prisoner of Azkaban,105
Minerva McGonagall</a,Goblet of Fire,270
Minerva McGonagall</a,Order of the Phoenix,120
Minerva McGonagall</a,Half-Blood Prince,225
Minerva McGonagall</a,"Deathly Hallows, Part I",210
Minerva McGonagall</a,"Deathly Hallows, Part II",210
Cedric Diggory</a,Philosopher's/Sorcerer's Stone,0
Cedric Diggory</a,Chamber of Secrets,0
Cedric Diggory</a,Prisoner of Azkaban,0
Cedric Diggory</a,Goblet of Fire,480
Cedric Diggory</a,Order of the Phoenix,15
Cedric Diggory</a,Half-Blood Prince,0
Cedric Diggory</a,"Deathly Hallows, Part I",0
Cedric Diggory</a,"Deathly Hallows, Part II",0
Lavender Brown</a,Philosopher's/Sorcerer's Stone,0
Lavender Brown</a,Chamber of Secrets,0
Lavender Brown</a,Prisoner of Azkaban,60
Lavender Brown</a,Goblet of Fire,0
Lavender Brown</a,Order of the Phoenix,0
Lavender Brown</a,Half-Blood Prince,210
Lavender Brown</a,"Deathly Hallows, Part I",60
Lavender Brown</a,"Deathly Hallows, Part II",60
