date,time,session_min
2017,15:11:10-05:00,9
2017,15:21:42-05:00,2
2017,15:24:44-05:00,1
2017,15:42:49-05:00,4
2017,15:49:02-05:00,17
2017,16:07:26-05:00,4
2017,16:13:27-05:00,9
2017,16:28:23-05:00,1
2017,16:39:55-05:00,3
2017,16:45:09-05:00,1
2017,16:49:26-05:00,1
2017,17:17:29-05:00,1
2017,17:21:15-05:00,1
2017,17:23:52-05:00,4
2017,17:31:19-05:00,6
2017,17:41:00-05:00,4
2017,17:49:16-05:00,2
2017,17:59:15-05:00,35
2017,18:52:15-05:00,1
2017,19:50:56-05:00,13
2017,20:54:25-05:00,5
2017,21:08:46-05:00,4
2017,21:38:09-05:00,51
2017,22:39:45-05:00,3
2017,00:07:37-05:00,4
2017,08:11:24-05:00,1
2017,08:45:30-05:00,3
2017,08:55:50-05:00,2
2017,09:12:48-05:00,1
2017,09:46:59-05:00,1
2017,10:22:29-05:00,4
2017,12:20:25-05:00,1
2017,14:55:21-05:00,1
2017,15:03:29-05:00,1
2017,15:54:24-05:00,1
2017,15:56:35-05:00,1
2017,16:13:36-05:00,1
2017,16:20:13-05:00,1
2017,17:11:27-05:00,1
2017,18:05:39-05:00,1
2017,19:16:28-05:00,2
2017,19:50:34-05:00,1
2017,20:02:29-05:00,1
2017,20:14:08-05:00,1
2017,20:32:52-05:00,28
2017,21:16:04-05:00,1
2017,23:40:23-05:00,1
2017,23:55:21-05:00,1
2017,09:00:37-05:00,3
2017,09:37:23-05:00,1
2017,10:10:28-05:00,1
2017,10:23:39-05:00,2
2017,10:39:07-05:00,2
2017,13:47:12-05:00,1
2017,15:22:24-05:00,2
2017,15:42:14-05:00,3
2017,15:49:51-05:00,4
2017,16:22:37-05:00,2
2017,16:50:47-05:00,4
2017,17:38:58-05:00,2
2017,17:42:00-05:00,1
2017,17:49:48-05:00,1
2017,17:57:22-05:00,1
2017,18:06:05-05:00,1
2017,18:27:13-05:00,2
2017,18:42:53-05:00,4
2017,19:04:25-05:00,37
2017,19:42:50-05:00,9
2017,19:53:36-05:00,12
2017,20:13:17-05:00,3
2017,20:24:54-05:00,1
2017,20:40:59-05:00,1
2017,20:43:06-05:00,1
2017,20:56:10-05:00,1
2017,20:58:16-05:00,2
2017,22:10:22-05:00,1
2017,22:47:54-05:00,3
2017,02:45:00-05:00,8
2017,11:23:30-05:00,4
2017,11:36:55-05:00,2
2017,12:35:34-05:00,13
2017,13:14:39-05:00,7
2017,14:16:05-05:00,1
2017,16:47:20-05:00,1
2017,16:54:53-05:00,6
2017,17:45:03-05:00,1
2017,17:49:48-05:00,4
2017,18:40:42-05:00,1
2017,18:46:57-05:00,1
2017,22:27:59-05:00,13
2017,22:42:35-05:00,2
2017,22:47:42-05:00,13
2017,00:13:42-05:00,4
2017,00:46:51-05:00,1
2017,00:51:52-05:00,33
2017,14:23:48-05:00,1
2017,14:27:23-05:00,1
2017,15:09:04-05:00,15
2017,15:32:20-05:00,1
2017,15:41:35-05:00,3
2017,16:22:01-05:00,6
2017,16:31:26-05:00,2
2017,16:34:46-05:00,50
2017,17:42:12-05:00,1
2017,17:47:53-05:00,1
2017,17:51:09-05:00,1
2017,18:00:26-05:00,11
2017,18:15:10-05:00,22
2017,19:42:07-05:00,2
2017,19:45:47-05:00,5
2017,20:02:22-05:00,5
2017,21:36:51-05:00,1
2017,21:49:53-05:00,3
2017,22:33:02-05:00,5
2017,02:52:06-05:00,2
2017,03:05:55-05:00,4
2017,03:30:02-05:00,16
2017,03:58:00-05:00,38
2017,06:19:30-05:00,157
2017,09:09:39-05:00,23
2017,09:33:39-05:00,7
2017,09:42:05-05:00,2
2017,10:08:11-05:00,1
2017,10:12:20-05:00,2
2017,10:32:24-05:00,1
2017,13:52:15-05:00,17
2017,15:01:15-05:00,3
2017,15:18:42-05:00,1
2017,15:23:08-05:00,6
2017,16:48:35-05:00,1
2017,16:53:28-05:00,7
2017,17:06:13-05:00,1
2017,17:08:14-05:00,6
2017,17:16:36-05:00,2
2017,17:21:54-05:00,1
2017,17:26:59-05:00,1
2017,17:29:49-05:00,3
2017,17:42:47-05:00,68
2017,19:05:34-05:00,4
2017,19:28:59-05:00,1
2017,19:39:54-05:00,1
2017,19:42:05-05:00,3
2017,19:50:27-05:00,8
2017,20:07:17-05:00,4
2017,20:15:50-05:00,14
2017,21:19:36-05:00,20
2017,21:42:32-05:00,2
2017,21:47:24-05:00,1
2017,21:49:44-05:00,1
2017,21:52:21-05:00,2
2017,22:06:18-05:00,4
2017,22:36:16-05:00,4
2017,22:55:19-05:00,2
